"Lima", 1327.28, 240
"Higo", 2538.17, 110
"Kiwi", 430.67, 412
"Manzana", 125.59, 910
"Esparrago", 633.45, 224
"Papa", 16.60, 1150
"TomCherry", 584.18, 178
"Berenjena", 58.09, 528
"TomCherry", 551.48, 196
"Esparrago", 628.62, 186
"Naranja", 12.11, 1160
"Durazno", 147.81, 704
"Brocoli", 355.92, 472
"Acelga", 22.32, 792
"Limon", 334.57, 574
"Calabaza", 24.30, 936
"Banana", 68.45, 960
"Mandarina", 15.39, 880
"Lima", 1084.82, 226
"Cereza", 1056.94, 202
"Batata", 23.53, 1050
"Alcachofa", 152.91, 348
"Ciruela", 1023.93, 1062
"Tomate", 740.58, 1026
"Frutilla", 289.48, 276
"Durazno", 163.60, 656
"Calabaza", 18.41, 888
"Acelga", 26.36, 900
"Manzana", 139.90, 1070
"Pomelo", 47.70, 927
"Champignon", 3539.75, 119
"Limon", 321.56, 791
"Zanahoria", 34.84, 486
"Frutilla", 289.19, 333
"Zuccini", 89.26, 696
"Coliflor", 30.46, 500
"Kiwi", 442.27, 428
"Melon", 116.86, 468
"Ciruela", 992.44, 909
"Mandarina", 17.47, 1000
"Lima", 1061.68, 238
"Kinoto", 26.40, 238
"Durazno", 274.07, 792
"Kiwi", 463.38, 424
"Esparrago", 651.22, 224
"Lima", 984.35, 222
"Cebolla", 62.82, 792
"Brocoli", 353.21, 476
"Berenjena", 51.19, 504
"Mandarina", 22.12, 920
"Batata", 18.07, 1170
"Coliflor", 32.98, 600
"Pera", 147.41, 840
"TomCherry", 548.26, 212
"Palta", 483.40, 415
"Apio", 58.75, 327
"Lima", 1383.54, 162
"Palta", 1126.53, 344
"Palta", 469.74, 510
"Pera", 128.29, 880
"Kinoto", 36.21, 210
"Frutilla", 295.58, 306
"Champignon", 3677.10, 111
"Zuccini", 96.25, 666
"Batata", 18.30, 1100
"Frutilla", 291.31, 357
"Ajo", 900.29, 86
"Banana", 71.56, 1080
"Champignon", 3591.52, 93
"Cebolla", 68.28, 808
"Lechuga", 39.95, 819
"Lima", 1288.86, 234
"Champignon", 3523.19, 112
"Higo", 2504.75, 85
"Durazno", 244.86, 656
"Batata", 14.27, 1150
"Durazno", 175.03, 912
"Ciruela", 944.79, 981
"Frutilla", 300.88, 267
"Naranja", 16.77, 920
"Acelga", 26.23, 945
"Lechuga", 41.77, 963
"Naranja", 12.52, 890
"Lechuga", 43.38, 729
"TomCherry", 531.31, 228
"Limon", 302.25, 672
"Manzana", 124.93, 1110
"Lechuga", 46.71, 918
"Coliflor", 29.90, 415
"Melon", 106.16, 340
"Manzana", 142.94, 1010
"Sandia", 67.34, 882
"Morron", 3046.21, 588
"Brocoli", 358.70, 408
"Uva", 707.43, 357
"Morron", 2976.87, 564
"Repollo", 4.27, 609
"Berenjena", 53.07, 540
"Apio", 61.92, 252
"Kinoto", 27.06, 184
"Acelga", 27.79, 999
"Zuccini", 74.24, 612
"Zanahoria", 30.19, 522
"Acelga", 20.14, 1071
"Ciruela", 929.23, 1008
"Coliflor", 20.60, 510
"Zuccini", 87.51, 636
"Esparrago", 574.41, 186
"Alcachofa", 139.77, 276
"Frutilla", 279.39, 276
"Zanahoria", 31.91, 576
"Mandarina", 17.34, 1170
